Timestamp,Provider,Counter Name,Counter Type,Mean/Increment
29/05/2023 15:00:54,System.Runtime,Gen 0 Size (B),Metric,0
29/05/2023 15:00:54,System.Runtime,Gen 1 Size (B),Metric,0
29/05/2023 15:00:54,System.Runtime,Gen 2 Size (B),Metric,0
29/05/2023 15:00:54,System.Runtime,LOH Size (B),Metric,0
29/05/2023 15:00:54,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
29/05/2023 15:00:54,System.Runtime,Number of Assemblies Loaded,Metric,168
29/05/2023 15:00:54,System.Runtime,IL Bytes Jitted (B),Metric,1382143
29/05/2023 15:00:54,System.Runtime,Number of Methods Jitted,Metric,18787
29/05/2023 15:00:54,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
29/05/2023 15:00:55,System.Runtime,CPU Usage (%),Metric,0
29/05/2023 15:00:55,System.Runtime,Working Set (MB),Metric,140.587008
29/05/2023 15:00:55,System.Runtime,GC Heap Size (MB),Metric,18.302576
29/05/2023 15:00:55,System.Runtime,Gen 0 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:55,System.Runtime,Gen 1 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:55,System.Runtime,Gen 2 GC Count (Count / 1 sec),Rate,0
29/05/2023 15:00:55,System.Runtime,ThreadPool Thread Count,Metric,7
29/05/2023 15:00:55,System.Runtime,Monitor Lock Contention Count (Count / 1 sec),Rate,0
29/05/2023 15:00:55,System.Runtime,ThreadPool Queue Length,Metric,0
29/05/2023 15:00:55,System.Runtime,ThreadPool Completed Work Item Count (Count / 1 sec),Rate,3
29/05/2023 15:00:55,System.Runtime,Allocation Rate (B / 1 sec),Rate,0
29/05/2023 15:00:55,System.Runtime,Number of Active Timers,Metric,6
29/05/2023 15:00:55,System.Runtime,GC Fragmentation (%),Metric,0
29/05/2023 15:00:55,System.Runtime,GC Committed Bytes (MB),Metric,0
29/05/2023 15:00:55,System.Runtime,Exception Count (Count / 1 sec),Rate,0
29/05/2023 15:00:55,System.Runtime,% Time in GC since last GC (%),Metric,0
29/05/2023 15:00:55,System.Runtime,Gen 0 Size (B),Metric,0
29/05/2023 15:00:55,System.Runtime,Gen 1 Size (B),Metric,0
29/05/2023 15:00:55,System.Runtime,Gen 2 Size (B),Metric,0
29/05/2023 15:00:55,System.Runtime,LOH Size (B),Metric,0
29/05/2023 15:00:55,System.Runtime,POH (Pinned Object Heap) Size (B),Metric,0
29/05/2023 15:00:55,System.Runtime,Number of Assemblies Loaded,Metric,168
29/05/2023 15:00:55,System.Runtime,IL Bytes Jitted (B),Metric,1382143
29/05/2023 15:00:55,System.Runtime,Number of Methods Jitted,Metric,18787
29/05/2023 15:00:55,System.Runtime,Time spent in JIT (ms / 1 sec),Rate,0
29/05/2023 15:00:56,System.Runtime,CPU Usage (%),Metric,0
